City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
315,Bud,US,39.447,-86.1758,39.45,88,93,15.32,overcast clouds
316,Guerrero Negro,MX,27.9769,-114.0611,63.34,63,0,9.08,clear sky
317,North Myrtle Beach,US,33.816,-78.68,55.45,79,20,4.61,few clouds
318,Spornoye,RU,50.8448,37.2913,28.42,92,100,2.26,light snow
319,Fortuna,US,40.5982,-124.1573,51.33,93,0,10.36,clear sky
320,Leningradskiy,RU,69.3833,178.4167,-20.94,98,94,5.01,overcast clouds
321,Tottori,JP,35.5,134.2333,50.07,57,75,8.05,broken clouds
322,Terney,RU,45.0503,136.6092,28.56,82,100,12.59,snow
323,Muravlenko,RU,63.7898,74.523,-9.42,90,5,10.76,clear sky
324,Ndungu,TZ,-4.3667,38.05,73.51,85,100,1.9,overcast clouds
325,Fort-Shevchenko,KZ,44.5086,50.263,41.07,87,100,11.14,overcast clouds
326,Shimoda,JP,34.6667,138.95,50.36,62,90,5.77,overcast clouds
327,Westport,US,41.1415,-73.3579,51.33,61,0,15.99,clear sky
328,Coron,PH,11.9986,120.2043,90.05,52,81,3.49,broken clouds
329,Touros,BR,-5.1989,-35.4608,79.7,82,91,8.75,overcast clouds
330,Chupa,RU,66.27,33.0549,19.99,88,96,9.37,overcast clouds
331,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,18.19,49,0,4.47,clear sky
332,Pathalgaon,IN,22.5667,83.4667,69.93,19,52,5.7,broken clouds
333,Biak,ID,-0.9131,122.8766,79.29,80,93,4.76,overcast clouds
334,Talara,PE,-4.5772,-81.2719,72.12,82,3,10.11,clear sky
335,Tsabong,BW,-26.0217,22.401,75.0,51,14,10.42,few clouds
336,Katangli,RU,51.7102,143.2326,26.17,87,100,11.3,overcast clouds
337,Torbay,CA,47.6666,-52.7314,34.27,91,75,13.8,broken clouds
338,Lavrentiya,RU,65.5833,-171.0,-25.51,93,8,8.14,clear sky
339,Tosno,RU,59.54,30.8775,22.71,92,28,8.28,scattered clouds
340,Batagay,RU,67.6333,134.6333,-18.54,94,72,2.82,broken clouds
341,Ust-Kut,RU,56.7938,105.7672,-5.01,90,100,0.38,overcast clouds
342,Sechura,PE,-5.5569,-80.8222,72.61,77,69,8.05,broken clouds
343,Aberdeen,GB,57.1437,-2.0981,43.29,91,75,20.71,broken clouds
344,Scarborough,GB,54.2797,-0.4044,41.07,85,100,17.0,overcast clouds
345,Cayenne,GF,4.9333,-52.3333,79.09,86,100,4.0,overcast clouds
