City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1199,Bireun,ID,82.76,overcast clouds,5.203,96.7009,Rumah Bp.AR. ISMAIL
1218,Batemans Bay,AU,78.19,light rain,-35.7167,150.1833,Batemans Bay Marina Resort
1223,Basco,PH,76.41,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
1234,Gua Musang,MY,87.49,overcast clouds,4.8823,101.9644,Mines Inn Hotel
1237,Canberra,AU,78.39,overcast clouds,-35.2835,149.1281,Novotel Canberra
1238,Mangrol,IN,75.78,clear sky,21.1167,70.1167,Hotel The Royal Honours
1240,Hervey Bay,AU,84.31,scattered clouds,-25.2986,152.8535,Shelly Bay Resort
1244,Turan,VN,78.85,scattered clouds,16.0678,108.2208,Sun River Hotel
1248,Sijunjung,ID,85.55,overcast clouds,-0.6876,100.9537,Hotel Bukik Gadang
1250,Qui Nhon,VN,78.51,overcast clouds,13.7667,109.2333,Hoang Yen Canary Hotel
1251,Amahai,ID,83.88,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
1274,Trat,TH,87.26,overcast clouds,12.5,102.5,สวนหนิง-อัศ
1280,Garissa,KE,76.33,few clouds,-0.4536,39.6401,Sharif Plaza Hotel
1283,Panama City,PA,77.43,clear sky,8.9936,-79.5197,Riande Urban Hotel
1285,Nizamabad,IN,77.83,overcast clouds,18.6667,78.1167,Hostel Luxury A/C
1287,Quelimane,MZ,77.77,overcast clouds,-17.8786,36.8883,Hotel Flamingo
1288,Ternate,ID,84.61,broken clouds,0.8,127.4,Sahid Bela Ternate Hotel
1289,Boyolangu,ID,79.56,overcast clouds,-8.1181,111.8935,Yos ega cv
1290,Kijini,TZ,79.75,overcast clouds,-5.85,39.3167,Green and Blue Ocean Lodge
1309,La Libertad,EC,75.11,scattered clouds,-2.2333,-80.9,Playa Canela Hotel Boutique
1311,Haveri,IN,80.01,few clouds,14.8,75.4,Shivashakti Palace
1312,Isla Mujeres,MX,75.16,clear sky,21.2311,-86.731,Hotel La Joya Isla Mujeres
1313,Santa Ana,US,75.78,clear sky,33.7456,-117.8678,Santa Ana Travel Inn
1317,Lindi,TZ,75.58,light rain,-10.0,39.7167,Lindi paradise house
1320,Soe,ID,77.2,overcast clouds,-9.8607,124.284,Dena Hotel
1321,Gigmoto,PH,75.79,heavy intensity rain,13.7796,124.39,Cj's Travellers Inn
1327,Port Macquarie,AU,75.16,overcast clouds,-31.4333,152.9167,Rydges Port Macquarie
1330,Ailigandi,PA,78.46,overcast clouds,9.2333,-78.0167,Akwa Reef Lodge
1340,Katobu,ID,79.05,moderate rain,-4.9408,122.5276,La Ode Husein
1343,Simiti,CO,77.04,clear sky,7.9579,-73.9436,Cancha la original
1346,Tulagi,SB,79.81,overcast clouds,-9.0996,160.1476,Raiders Hotel & Dive
1347,Oranjestad,AW,78.75,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
1350,Davila,PH,81.5,few clouds,18.4726,120.5763,Blue Ridge Beach Resort
1351,Manta,EC,76.78,broken clouds,-0.95,-80.7333,Balandra Hotel
1355,Calamar,CO,78.75,few clouds,10.2511,-74.9146,Hostal Katyalex
1358,Penha,BR,78.17,scattered clouds,-26.7694,-48.6458,Hotel Mirante Do Parque
1380,Seddon,AU,89.02,clear sky,-37.8068,144.8916,Footscray Motor Inn
1385,Lingao,CN,75.13,overcast clouds,19.9103,109.6859,Lingao Ditai Inn
1389,Maputo,MZ,76.23,clear sky,-25.9653,32.5892,Pestana Rovuma
1397,Xai-Xai,MZ,75.27,clear sky,-25.0519,33.6442,Complexo da Familia
1404,Kuah,MY,81.41,overcast clouds,6.3265,99.8432,Azio Hotel
1414,Warangal,IN,78.08,clear sky,18.0,79.5833,Supreme Hotels
1415,Naifaru,MV,80.91,overcast clouds,5.4444,73.3657,Naifaru Residence Guest House
1430,Tual,ID,82.6,broken clouds,-5.6667,132.75,Grand Vilia Hotel
1443,Pringsewu,ID,87.08,light rain,-5.3582,104.9744,Urban Style by Front One
1448,Kingaroy,AU,82.18,scattered clouds,-26.5333,151.8333,Ascot Lodge Motel Kingaroy
1451,Buala,SB,77.63,light rain,-8.145,159.5921,Maringe Lagoon Lodge
1453,Trinidad,BO,75.56,overcast clouds,-14.8333,-64.9,Hotel Piesta
1458,Bima,ID,85.14,light rain,-8.4667,118.7167,Lambitu Hotel
1465,Payo,ID,84.69,overcast clouds,-3.7508,103.6372,Mess keban agung
1467,Antsohihy,MG,78.24,clear sky,-14.8796,47.9875,Hotel de Ville
1470,Chodavaram,IN,80.44,broken clouds,17.8333,82.95,Ganesh Defence Academy chodavadaram hostel
1478,Alenquer,BR,75.54,overcast clouds,-1.9417,-54.7383,Detinha Hotel
1479,Ahuimanu,US,75.2,overcast clouds,21.4447,-157.8378,Paradise Bay Resort
1486,Manado,ID,83.17,broken clouds,1.487,124.8455,Aryaduta Hotel
1492,Nueva Concepcion,GT,77.47,clear sky,14.2,-91.3,Hotel Villa Las Flores
